MusicPlayResponse,MusicPlayAlbumArtistSong,MusicPlaySongAlbum,MusicPlayAlbumArtist,MusicPlaySong,MusicPlayArtist,MusicPlayAlbum,MusicPlayEra,MusicPlayGenre,MusicPlayMood,MusicPlayCollection,MusicPlayKeyword,MusicPlayNew,MusicPlaySimilar
Play throwbacks from 1989,,,,,,,1989,,,,,,
play the hit songs of 1994,,,,,,,1994,,,,,,
put on songs from the year 1969,,,,,,,1969,,,,,,
play music from 2007,,,,,,,2007,,,,,,
play 1992 throwback music,,,,,,,1992,,,,,,
throw it way back to the year 1998,,,,,,,1998,,,,,,
play music released in 2004,,,,,,,2004,,,,,,
put on tunes from 1972,,,,,,,1972,,,,,,
can you play just music from 2003,,,,,,,2003,,,,,,
just play throwbacks from 1971,,,,,,,1971,,,,,,
just put on music from back in 1996,,,,,,,1996,,,,,,
just play songs from the year 1981,,,,,,,1981,,,,,,
I want to hear oldies music from 1950,,,,,,,1950,,,,,,
make me feel like I'm in 1964,,,,,,,1964,,,,,,
make it sound like the year 2012,,,,,,,2012,,,,,,
I want to hear music from 2011,,,,,,,2011,,,,,,
I want to listen to 2006 songs,,,,,,,2006,,,,,,
I want to hear top songs  from 1986,,,,,,,1986,,,,,,
do you have any 90s throwback music,,,,,,,90s,,,,,,
do you have any 90s music,,,,,,,90s,,,,,,
play 2001 throwbacks,,,,,,,2001,,,,,,
throw it back to the year 2002,,,,,,,2002,,,,,,
play songs that were hot in 2000,,,,,,,2000,,,,,,
play the top hits of 2005,,,,,,,2005,,,,,,
play throwback music from the 70s,,,,,,,70s,,,,,,
play stuff from the 1970s,,,,,,,1970s,,,,,,
can you throwback to 1990,,,,,,,1990,,,,,,
can you throw back to 1993,,,,,,,1993,,,,,,
can you play something from the year 1989,,,,,,,1989,,,,,,
do you have music from 1999,,,,,,,1999,,,,,,
what songs were hot in the 2000s,,,,,,,2000s,,,,,,
throw it back to 1955,,,,,,,1955,,,,,,
throw it back to the 50s,,,,,,,50s,,,,,,
throw it back to the 90's,,,,,,,90's,,,,,,
pump up 90s jams,,,,,,,90s,,,,,,
pump up the jams from 1991,,,,,,,1991,,,,,,
let's jam to the year 1982,,,,,,,1982,,,,,,
let's jam to some 70s music,,,,,,,70s,,,,,,
pump it up with some 2002 songs,,,,,,,2002,,,,,,
what were the hot songs of 2013,,,,,,,2013,,,,,,
what topped the charts in 2008,,,,,,,2008,,,,,,
what were the chart toppers in 2009,,,,,,,2009,,,,,,
what songs were big in the 80s,,,,,,,80s,,,,,,
can you throw it back to 1977,,,,,,,1977,,,,,,
play throwback music from 1975,,,,,,,1975,,,,,,
take us back to the year 1998 with some music,,,,,,,1998,,,,,,
take me on a musical journey to 1960,,,,,,,1960,,,,,,
what were the top chart hits of 1966,,,,,,,1966,,,,,,
what songs were on top in 2014,,,,,,,2014,,,,,,
what songs were popular in 2001,,,,,,,2001,,,,,,
give me some music from 2005,,,,,,,2005,,,,,,
what were the top songs of the year 1999,,,,,,,1999,,,,,,
spin some 1984 hits,,,,,,,1984,,,,,,
play some music from 1977,,,,,,,1977,,,,,,
play something from 1988,,,,,,,1988,,,,,,
play throwbacks from 1990,,,,,,,1990,,,,,,
let's hear some 90s jams,,,,,,,90s,,,,,,
do you have 50s music,,,,,,,50s,,,,,,
play songs from 2015,,,,,,,2015,,,,,,
I want to hear some 80s hits,,,,,,,80s,,,,,,
I want some 90s jams,,,,,,,90s,,,,,,
throwback to the 80s,,,,,,,80s,,,,,,
let's jam to the 80s,,,,,,,80s,,,,,,
let's jam to 90s music,,,,,,,90s,,,,,,
throw it back to the 1989,,,,,,,1989,,,,,,
throw back to 1992,,,,,,,1992,,,,,,
play music from the year 1980,,,,,,,1980,,,,,,
have you got the hits from 2001,,,,,,,2001,,,,,,
have you got any songs from 1940,,,,,,,1940,,,,,,
do you have songs from the 30s,,,,,,,30s,,,,,,
got any songs from movado,,,movado,,,,,,,,,,
got any songs by no doubt,,,,,no doubt,,,,,,,,
I feel like listening to drake,drake,,,,,,,,,,,,
I feel like playing nelly,nelly,,,,,,,,,,,,
I want to hear kelly rowland,kelly rowland,,,,,,,,,,,,
I feel like listening to the life of pablo,the life of pablo,,,,,,,,,,,,
I'd like to listen to young thug,young thug,,,,,,,,,,,,
I wanna hear despacito,despacito,,,,,,,,,,,,
put on eve,eve,,,,,,,,,,,,
put on mi gente,mi gente,,,,,,,,,,,,
play rockstar,rockstar,,,,,,,,,,,,
put on tame impala,tame impala,,,,,,,,,,,,
play ride wit me,ride wit me,,,,,,,,,,,,
let's hear family affair,family affair,,,,,,,,,,,,
put on some despacito,despacito,,,,,,,,,,,,
play me some stankonia,stankonia,,,,,,,,,,,,
play the latest in rap music,,,,,,,,rap,,,,latest,
play the latest country hits,,,,,,,,country,,,,latest,
play the latest in pop,,,,,,,,pop,,,,latest,
play the latest in hip-hop,,,,,,,,hip-hop,,,,latest,
play the latest pop hits,,,,,,,,pop,,,,latest,
play the latest in jazz,,,,,,,,jazz,,,,latest,
play the latest rock hits,,,,,,,,rock,,,,latest,
play the latest pop songs,,,,,,,,pop,,,,latest,
play the latest electronic music,,,,,,,,electronic,,,,latest,
play new EDM hits,,,,,,,,EDM,,,,new,
play new dance releases,,,,,,,,dance,,,,new,
play the new releases in country music,,,,,,,,country,,,,new,
play new pop hits,,,,,,,,pop,,,,new,
play new country music hits,,,,,,,,country,,,,new,
play new songs in rock,,,,,,,,rock,,,,new,
play new rock releases ,,,,,,,,rock,,,,new,
play new hip-hop releases,,,,,,,,hip-hop,,,,new,
play new r&b hits,,,,,,,,r&b,,,,new,
play new releases in r&b,,,,,,,,r&b,,,,new,
play new songs in pop punk,,,,,,,,pop,,,,new,
play new punk releases,,,,,,,,punk,,,,new,
play new songs in the edm genre,,,,,,,,edm,,,,new,
play top new songs in country music,,,,,,,,country,,,,new,
play some new country music,,,,,,,,country,,,,new,
play some new r&b hits,,,,,,,,r&b,,,,new,
play the newest hip hop songs,,,,,,,,hip hop,,,,newest,
play the newest pop hits,,,,,,,,pop,,,,newest,
play the newest jazz songs,,,,,,,,jazz,,,,newest,
play the newest reggae hits,,,,,,,,reggae,,,,newest,
play the newest latin songs,,,,,,,,latin,,,,newest,
play what's new in country music,,,,,,,,country,,,,new,
play what's new in rock and roll,,,,,,,,rock and roll,,,,new,
play what's new in pop,,,,,,,,pop,,,,new,
play what's new in hip hop,,,,,,,,hip hop,,,,new,
play what's new in metal,,,,,,,,metal,,,,new,
play recent pop hits,,,,,,,,pop,,,,recent,
play recent country releases,,,,,,,,country,,,,recent,
play the most recent metal releases,,,,,,,,metal,,,,recent,
play the most recent pop hits,,,,,,,,pop,,,,recent,
